,hotel_name,hotel_review,hotel_tourlist
24,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
25,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
26,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
27,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
28,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
29,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
30,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
31,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
32,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
33,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
34,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
35,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
36,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
37,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
38,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
39,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
40,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
41,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
42,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
43,호텔 세인트존스 경포호텔,,"주변 장소
허균허난설헌기념관
1 km
경포아쿠아리움
1.3 km
강릉시립도서관
2.1 km
경포대
2.2 km
에디슨과학박물관
2.2 km
강릉동인병원
2.2 km
강릉 스피드스케이팅 경기장
2.2 km
강릉하키센터
2.5 km
강릉 올림픽 파크
2.5 km
강릉 아이스 아레나
2.5 km
마트 & 식료품점
수퍼마켓 Gangneung E-Mart
3.2 km
수퍼마켓 Gangneung Home Plus
4.7 km
시장 Gangneung Center Market (traditional)
4.9 km
인기 투어 & 액티비티
강릉종합운동장
2.9 km
강릉아트센터
3.1 km
강릉 컬링 센터
3.2 km
강릉선교장
3.2 km
강릉역
3.6 km
동양자수박물관
3.9 km
오죽헌
4 km
오죽헌시립박물관
4.2 km
자연 경관
바다 Donghae
2.3 km
호수 Gyeongpo Lake
4.6 km
스키 리프트
Alpensia Ski Resort
37.7 km
Yongpyong Ski Resort
39.1 km
근처 해변
Songjeong Beach
150 m
Gangmun Beach
400 m
Gyeongpo Beach
800 m
가장 가까운 공항
양양국제공항
37.3 km
Wonju Airport
90.8 km"
